22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Calendar Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Permission Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Cutter geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # JSON Decoder geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Register Variable geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Text Parser geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Event Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Heating Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Heating Control Legacy geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Image Grabber geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Shutter Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Shutter Control Legacy geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Location Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # RS232 Discovery geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Module Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Store Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Translation Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Matter Configurator geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Matter Controller geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Matter Device geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Notification Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Presence Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Skin Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Util Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Dummy Module geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Popup Module geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Energy Distribution geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Tile Visualization geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # WebFront Visualization geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # WebHook Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # WebOAuth Control geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # WebServer geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Client Socket geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # HID geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Serial Port geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Server Socket geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Multicast Socket geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # UDP Socket geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Virtual IO geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # HTTP Client geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # SSE Client geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # WS Client geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # ALL2x geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # ALL3690 geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # ALL3691 geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # ALL4000 geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # ALLUniversal geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # BACnet Client Device geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # BACnet Client Discovery geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # BACnet Client Object geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # BACnet Server Device geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Device geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Splitter geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Discovery geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Configurator geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Channel UI geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Channel UOI geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Channel DOI geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # Catan Channel DOR geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # DMX Channel geladen
22.06.2026 10:42:05 | 00000 | MESSAGE | ModuleLoader         | # DMX Gateway geladen
